Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
107	4.3130527999999995	-52.133573607074794		France	BA.2.86*		DOH
56	15.9266657	107.9650855		Viet Nam	XBB*		DOH
14	4.3130527999999995	-52.133573607074794		France	Other		DOH
45	-27.7853361	30.7897384		South Africa	XBB*		DOH
126	35.7626211	10.7545542		Tunisia	Other		DOH
129	55.0356373	-1.7110967		United Kingdom	JN.1.18*		DOH
104	42.3743325	-71.0302794		United States	BA.2.86*		DOH
87	5.9572597	116.0657877		Malaysia	BA.2.86*		DOH
121	53.2716381	7.4587572		Germany	KP.2*		DOH
128	24.9415476	46.7119808		Saudi Arabia	Other		DOH
37	22.3160874	113.93647839996052		China	XBB*		DOH
129	23.61298745	89.51132630000001		Bangladesh	KP.3*		DOH
116	42.3743325	-71.0302794		United States	BA.2.86*		DOH
61	24.9415476	46.7119808		Saudi Arabia	Omicron		DOH
121	42.3743325	-71.0302794		United States	BA.2.86*		DOH
94	36.7429195	3.1924633		Algeria	BA.2.86*		DOH
54	41.1338198	16.7632158		Italy	XBB.1.9.1*		DOH
98	23.61298745	89.51132630000001		Bangladesh	BA.2.86*		DOH
112	24.9415476	46.7119808		Saudi Arabia	KP.2*		DOH
49	4.3130527999999995	-52.133573607074794		France	Other		DOH
7	-16.7967952	27.0004197		Zambia	Omicron		DOH
93	-8.7441455	115.1663723		Indonesia	BA.2.86*		DOH
42	9.0067224	7.2723697		Nigeria	XBB*		DOH
123	24.8865027	67.1440768		Pakistan	BA.2.86*		DOH
69	53.91158075	-8.81314269279339		Ireland	BA.2.86*		DOH
82	50.1152569	14.284724		Czech Republic	BA.2.86*		DOH
47	13.2099268	120.6038962		Philippines	Other		DOH
123	21.0862162	79.0637884		India	BA.2.86*		DOH
31	7.18250095	79.87614047745092		Sri Lanka	XBB*		DOH
110	21.0862162	79.0637884		India	KP.2*		DOH
45	1.352975	103.99605546603934		Singapore	XBB.1.9.1*		DOH
135	21.0862162	79.0637884		India	BA.2.86*		DOH
129	24.9415476	46.7119808		Saudi Arabia	BA.2.86*		DOH
117	36.5920226	-93.6640013		Turkey	BA.2.86*		DOH
114	4.3130527999999995	-52.133573607074794		France	JN.1.18*		DOH
68	37.235122849999996	127.00921616567815		South Korea (Republic of Korea)	Omicron		DOH
82	23.61298745	89.51132630000001		Bangladesh	BA.2.86*		DOH
98	-27.3856545	153.1184918		Australia	BA.2.86*		DOH
76	42.3743325	-71.0302794		United States	Other		DOH
130	42.3743325	-71.0302794		United States	Other		DOH
127	22.3160874	113.93647839996052		China	KP.3*		DOH
95	21.0862162	79.0637884		India	BA.2.86*		DOH
14	53.2716381	7.4587572		Germany	Omicron		DOH
75	4.1898549	73.5271565		Maldives	BA.2.86*		DOH
111	28.2127094	83.6658884		Nepal	KP.2*		DOH
133	29.20266855	47.98759996193816		Kuwait	BA.2.86*		DOH
35	-27.7853361	30.7897384		South Africa	XBB.1.5*		DOH
43	9.0067224	7.2723697		Nigeria	XBB*		DOH
76	41.1338198	16.7632158		Italy	EG.5*		DOH
53	-8.7441455	115.1663723		Indonesia	Other		DOH
29	-27.7853361	30.7897384		South Africa	XBB.1.16*		DOH
81	28.2127094	83.6658884		Nepal	BA.2.86*		DOH
74	50.63575965	5.426222477561027		Belgium	Other		DOH
112	5.9572597	116.0657877		Malaysia	KP.2*		DOH
60	22.3160874	113.93647839996052		China	Other		DOH
117	-6.5247123	35.7878438		Tanzania, United Republic of	Other		DOH
107	21.0862162	79.0637884		India	BA.2.86*		DOH
51	-17.9176704	31.09878714078309		Zimbabwe	XBB.2.3*		DOH
87	11.553518650000001	104.8444244551626		Cambodia	BA.2.86*		DOH
66	13.2099268	120.6038962		Philippines	Other		DOH
73	43.3568493	-1.7930754		Spain	BA.2.86*		DOH
106	29.20266855	47.98759996193816		Kuwait	Other		DOH
69	11.553518650000001	104.8444244551626		Cambodia	Omicron		DOH
117	46.7985624	8.2319736		Switzerland	BA.2.86*		DOH
60	36.5920226	-93.6640013		Turkey	XBB*		DOH
134	24.9415476	46.7119808		Saudi Arabia	BA.2.86*		DOH
40	13.2099268	120.6038962		Philippines	XBB.2.3*		DOH
29	22.3160874	113.93647839996052		China	Other		DOH
94	55.0356373	-1.7110967		United Kingdom	BA.2.86*		DOH
122	55.0356373	-1.7110967		United Kingdom	KP.2*		DOH
68	37.235122849999996	127.00921616567815		South Korea (Republic of Korea)	XBB*		DOH
93	24.9415476	46.7119808		Saudi Arabia	BA.2.86*		DOH
16	22.80543685	55.37312130426234		Oman	Other		DOH
15	33.9920437	-96.9158396		Lebanon	Omicron		DOH
8	36.5920226	-93.6640013		Turkey	Omicron		DOH
62	42.3743325	-71.0302794		United States	Omicron		DOH
129	23.61298745	89.51132630000001		Bangladesh	Omicron		DOH
90	9.0067224	7.2723697		Nigeria	BA.2.86*		DOH
124	24.9415476	46.7119808		Saudi Arabia	BA.2.86*		DOH
133	4.3130527999999995	-52.133573607074794		France	Other		DOH
110	12.6270148	99.95103		Thailand	JN.1.18*		DOH
19	-4.3246379	55.6919932		Seychelles	XBB.1.16*		DOH
102	13.2099268	120.6038962		Philippines	BA.2.86*		DOH
111	23.61298745	89.51132630000001		Bangladesh	BA.2.86*		DOH
110	37.235122849999996	127.00921616567815		South Korea (Republic of Korea)	Other		DOH
65	-27.7853361	30.7897384		South Africa	Omicron		DOH
40	12.6270148	99.95103		Thailand	XBB.1.16*		DOH
49	41.1338198	16.7632158		Italy	EG.5*		DOH
68	12.6270148	99.95103		Thailand	EG.5*		DOH
2	12.6270148	99.95103		Thailand	Omicron		DOH
45	1.352975	103.99605546603934		Singapore	Other		DOH
35	22.3160874	113.93647839996052		China	EG.5*		DOH
116	5.9572597	116.0657877		Malaysia	Omicron		DOH
121	53.2716381	7.4587572		Germany	BA.2.86*		DOH
123	13.2099268	120.6038962		Philippines	KP.3*		DOH
26	0.0442028	32.4579692		Uganda	XBB.1.9*		DOH
15	21.0862162	79.0637884		India	Omicron		DOH
16	34.86793	48.5428723		Iran	Omicron		DOH
14	24.9415476	46.7119808		Saudi Arabia	Omicron		DOH
118	52.215933	19.134422		Poland	JN.1.7*		DOH
63	53.95694255	-97.84823872487667		Norway	BA.2.86*		DOH
63	53.2716381	7.4587572		Germany	BA.2.86*		DOH
50	59.8143342	30.32107		Russian Federation	XBB.1.16*		DOH
124	-27.3856545	153.1184918		Australia	BA.2.86*		DOH
58	53.2716381	7.4587572		Germany	Other		DOH
129	22.3160874	113.93647839996052		China	KP.3*		DOH
67	21.0862162	79.0637884		India	XBB*		DOH
50	13.2099268	120.6038962		Philippines	XBB.2.3*		DOH
48	53.2716381	7.4587572		Germany	XBB*		DOH
42	21.0862162	79.0637884		India	XBB.1.9.1*		DOH
69	21.0862162	79.0637884		India	BA.2.86*		DOH
131	43.3568493	-1.7930754		Spain	KP.3.1.1*		DOH
129	36.1634261	137.9289785		Japan	BA.2.86*		DOH
68	53.2716381	7.4587572		Germany	EG.5*		DOH
120	22.80543685	55.37312130426234		Oman	KP.3*		DOH
68	34.86793	48.5428723		Iran	BA.2.86*		DOH
60	36.7429195	3.1924633		Algeria	Other		DOH
108	22.3160874	113.93647839996052		China	Other		DOH
129	36.1634261	137.9289785		Japan	JN.1.18*		DOH
56	46.7985624	8.2319736		Switzerland	XBB*		DOH
63	12.6270148	99.95103		Thailand	BA.2.86*		DOH
121	-27.3856545	153.1184918		Australia	KP.3*		DOH
130	47.7930175	12.9950154		Austria	KP.3.1.1*		DOH
20	7.18250095	79.87614047745092		Sri Lanka	XBB.1.16*		DOH
101	21.0862162	79.0637884		India	BA.2.86*		DOH
48	53.2716381	7.4587572		Germany	XBB.1.9.2*		DOH
71	7.18250095	79.87614047745092		Sri Lanka	BA.2.86*		DOH
14	5.612243	-0.1810685		Ethiopia	Omicron		DOH
