Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
107	4.3130528	-52.1335736070748		France	BA.2.86*	5344AA	DOH
56	15.9266657	107.9650855		Viet Nam	XBB*	04329B	DOH
14	4.3130528	-52.1335736070748		France	Other	E06666	DOH
45	-27.7853361	30.7897384		South Africa	XBB*	04329B	DOH
126	35.7626211	10.7545542		Tunisia	Other	E06666	DOH
129	55.0356373	-1.7110967		United Kingdom	JN.1.18*	B8AF37	DOH
104	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
87	5.9572597	116.0657877		Malaysia	BA.2.86*	5344AA	DOH
121	53.2716381	7.4587572		Germany	KP.2*	674EA7	DOH
128	24.9415476	46.7119808		Saudi Arabia	Other	E06666	DOH
37	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
129	23.61298745	89.51132630000001		Bangladesh	KP.3*	6E6190	DOH
116	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
61	24.9415476	46.7119808		Saudi Arabia	Omicron	CB5C19	DOH
121	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
94	36.7429195	3.1924633		Algeria	BA.2.86*	5344AA	DOH
54	41.1338198	16.7632158		Italy	XBB.1.9.1*	84034F	DOH
98	23.61298745	89.51132630000001		Bangladesh	BA.2.86*	5344AA	DOH
112	24.9415476	46.7119808		Saudi Arabia	KP.2*	674EA7	DOH
49	4.3130528	-52.1335736070748		France	Other	E06666	DOH
7	-16.7967952	27.0004197		Zambia	Omicron	CB5C19	DOH
93	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
42	9.0067224	7.2723697		Nigeria	XBB*	04329B	DOH
123	24.8865027	67.1440768		Pakistan	BA.2.86*	5344AA	DOH
69	53.91158075	-8.81314269279339		Ireland	BA.2.86*	5344AA	DOH
82	50.1152569	14.284724		Czech Republic	BA.2.86*	5344AA	DOH
47	13.2099268	120.6038962		Philippines	Other	E06666	DOH
123	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
31	7.18250095	79.87614047745092		Sri Lanka	XBB*	04329B	DOH
110	21.0862162	79.0637884		India	KP.2*	674EA7	DOH
45	1.352975	103.99605546603934		Singapore	XBB.1.9.1*	84034F	DOH
135	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
129	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
117	36.5920226	-93.6640013		Turkey	BA.2.86*	5344AA	DOH
114	4.3130528	-52.1335736070748		France	JN.1.18*	B8AF37	DOH
68	37.23512285	127.00921616567815		South Korea (Republic of Korea)	Omicron	CB5C19	DOH
82	23.61298745	89.51132630000001		Bangladesh	BA.2.86*	5344AA	DOH
98	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
