Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
0	34.86793	48.5428723		Iran	XBB*	04329B	DOH
1	34.86793	48.5428723		Iran	XBB*	04329B	DOH
2	12.6270148	99.95103		Thailand	Omicron	2a6291	DOH
3	30.9317189	-6.912768690350622		Morocco	Omicron	2a6291	DOH
4	53.2716381	7.4587572		Germany	Omicron	2a6291	DOH
5	9.145	40.4897		Ethiopia	Omicron	2a6291	DOH
6	9.145	40.4897		Ethiopia	CH.1.1*	440760	DOH
7	5.9572597	116.0657877		Malaysia	Omicron	2a6291	DOH
8	-16.7967952	27.0004197		Zambia	Omicron	2a6291	DOH
9	38.9637	35.2433		Turkey	Omicron	2a6291	DOH
10	12.8628	30.2176		Sudan	Omicron	2a6291	DOH
11	22.3160874	113.93647839996052		China	Omicron	2a6291	DOH
12	21.0862162	79.0637884		India	XBB.1.5*	2B7A6B	DOH
13	21.0862162	79.0637884		India	XBB*	04329B	DOH
14	41.1338198	16.7632158		Italy	Omicron	2a6291	DOH
15	41.1338198	16.7632158		Italy	CH.1.1*	440760	DOH
16	1.352975	103.99605546603934		Singapore	Omicron	2a6291	DOH
17	-27.7853361	30.7897384		South Africa	Omicron	2a6291	DOH
18	21.0862162	79.0637884		India	Omicron	2a6291	DOH
19	49.0079	-2.5508		France	Omicron	2a6291	DOH
20	9.145	40.4897		Ethiopia	Omicron	2a6291	DOH
21	21.0862162	79.0637884		India	Omicron	2a6291	DOH
22	53.2716381	7.4587572		Germany	Omicron	2a6291	DOH
23	24.9415476	46.7119808		Saudi Arabia	Omicron	2a6291	DOH
24	21.0862162	79.0637884		India	Omicron	2a6291	DOH
25	24.8865027	67.1440768		Pakistan	Omicron	2a6291	DOH
26	33.9920437	-96.9158396		Lebanon	Omicron	2a6291	DOH
27	24.9415476	46.7119808		Saudi Arabia	Omicron	2a6291	DOH
28	-0.0869947	34.7383296		Kenya	Omicron	2a6291	DOH
29	24.0002488	53.9994829		United Arab Emirates	Omicron	2a6291	DOH
30	22.80543685	55.37312130426234		Oman	Omicron	2a6291	DOH
31	34.86793	48.5428723		Iran	Omicron	2a6291	DOH
32	41.1338198	16.7632158		Italy	Omicron	2a6291	DOH
33	28.2127094	83.6658884		Nepal	XBB.1.16*	9B0E0E	DOH
34	22.3160874	113.93647839996052		China	XBB.1.9*	BF6310	DOH
35	21.0862162	79.0637884		India	XBB.1.9*	BF6310	DOH
36	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
37	-27.7853361	30.7897384		South Africa	XBB*	04329B	DOH
38	13.2099268	120.6038962		Philippines	XBB.1.9*	BF6310	DOH
39	-4.3246379	55.6919932		Seychelles	XBB.1.16*	9B0E0E	DOH
40	46.7985624	8.2319736		Switzerland	XBB*	04329B	DOH
41	46.7985624	8.2319736		Switzerland	XBB.1.16*	9B0E0E	DOH
42	13.2099268	120.6038962		Philippines	XBB.1.16*	9B0E0E	DOH
43	-27.7853361	30.7897384		South Africa	XBB.1.9*	BF6310	DOH
44	55.0356373	-1.7110967		United Kingdom	XBB.1.9*	BF6310	DOH
45	7.18250095	79.87614047745092		Sri Lanka	XBB.1.16*	9B0E0E	DOH
46	42.3743325	-71.0302794		United States	XBB.2.3*	035F66	DOH
47	5.6164609	-0.1770993		Egypt	XBB.1.16*	9B0E0E	DOH
48	42.3743325	-71.0302794		United States	XBB*	04329B	DOH
49	22.3160874	113.93647839996052		China	XBB.1.16*	9B0E0E	DOH
50	22.3160874	113.93647839996052		China	XBB.1.9*	BF6310	DOH
51	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
52	22.3160874	113.93647839996052		China	XBB.1.5*	2B7A6B	DOH
53	23.61298745	89.51132630000001		Bangladesh	XBB.2.3*	035F66	DOH
54	21.0862162	79.0637884		India	XBB.1.5*	2B7A6B	DOH
55	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
56	22.3160874	113.93647839996052		China	XBB.1.9*	BF6310	DOH
57	-8.7441455	115.1663723		Indonesia	XBB.1.5*	2B7A6B	DOH
58	39.47644	-87.1003925		Brazil	XBB.1.5*	2B7A6B	DOH
59	39.47644	-87.1003925		Brazil	XBB*	04329B	DOH
60	22.350627	114.1849161		Hong Kong (People's Republic of China)	XBB.1.9*	BF6310	DOH
61	22.3160874	113.93647839996052		China	XBB.1.16*	9B0E0E	DOH
62	22.3160874	113.93647839996052		China	XBB.1.9*	BF6310	DOH
63	0.0442028	32.4579692		Uganda	XBB.1.9*	BF6310	DOH
64	22.350627	114.1849161		Hong Kong (People's Republic of China)	Omicron	2a6291	DOH
65	22.350627	114.1849161		Hong Kong (People's Republic of China)	XBB.1.9*	BF6310	DOH
66	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
67	43.3568493	-1.7930754		Spain	Omicron	2a6291	DOH
68	43.3568493	-1.7930754		Spain	XBB.1.5*	2B7A6B	DOH
69	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
70	22.3160874	113.93647839996052		China	Omicron	2a6291	DOH
71	-27.7853361	30.7897384		South Africa	XBB.1.16*	9B0E0E	DOH
72	42.3743325	-71.0302794		United States	XBB.1.16*	9B0E0E	DOH
73	42.3743325	-71.0302794		United States	XBB.2.3*	035F66	DOH
74	42.3743325	-71.0302794		United States	XBB*	04329B	DOH
75	42.3743325	-71.0302794		United States	Omicron	2a6291	DOH
76	24.8865027	67.1440768		Pakistan	XBB*	04329B	DOH
77	7.18250095	79.87614047745092		Sri Lanka	XBB*	04329B	DOH
78	43.3467411	77.0115631		Kazakhstan	XBB.1.9.1*	84034F	DOH
79	41.1338198	16.7632158		Italy	XBB.1.16*	9B0E0E	DOH
80	43.3568493	-1.7930754		Spain	EG.5*	76227F	DOH
81	43.3568493	-1.7930754		Spain	XBB*	04329B	DOH
82	12.6270148	99.95103		Thailand	XBB.1.16*	9B0E0E	DOH
83	39.47644	-87.1003925		Brazil	XBB.1.16*	9B0E0E	DOH
84	-27.7853361	30.7897384		South Africa	XBB*	04329B	DOH
85	-27.7853361	30.7897384		South Africa	XBB.1.5*	2B7A6B	DOH
86	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
87	39.47644	-87.1003925		Brazil	XBB*	04329B	DOH
88	5.2544569	-3.9330107		Cote d'Ivoire	XBB*	04329B	DOH
89	39.47644	-87.1003925		Brazil	XBB.1.5*	2B7A6B	DOH
90	39.47644	-87.1003925		Brazil	XBB.2.3*	035F66	DOH
91	21.0862162	79.0637884		India	XBB*	04329B	DOH
92	28.2127094	83.6658884		Nepal	XBB.1.16*	9B0E0E	DOH
93	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
94	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
95	22.3160874	113.93647839996052		China	XBB.2.3*	035F66	DOH
96	13.2099268	120.6038962		Philippines	EG.5*	76227F	DOH
97	13.2099268	120.6038962		Philippines	XBB*	04329B	DOH
98	39.47644	-87.1003925		Brazil	XBB.1.9.1*	84034F	DOH
99	21.0862162	79.0637884		India	EG.5*	76227F	DOH
100	46.7985624	8.2319736		Switzerland	XBB.1.9.2*	76750F	DOH
101	21.0862162	79.0637884		India	XBB.2.3*	035F66	DOH
102	12.6270148	99.95103		Thailand	XBB.1.16*	9B0E0E	DOH
103	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
104	46.7985624	8.2319736		Switzerland	EG.5*	76227F	DOH
105	21.0862162	79.0637884		India	XBB*	04329B	DOH
106	28.2127094	83.6658884		Nepal	XBB.2.3*	035F66	DOH
107	55.0356373	-1.7110967		United Kingdom	XBB.1.16*	9B0E0E	DOH
108	55.0356373	-1.7110967		United Kingdom	EG.5*	76227F	DOH
109	49.0079	-2.5508		France	XBB.1.9.1*	84034F	DOH
110	55.0356373	-1.7110967		United Kingdom	XBB*	04329B	DOH
111	28.2127094	83.6658884		Nepal	XBB*	04329B	DOH
112	9.0067224	7.2723697		Nigeria	XBB*	04329B	DOH
113	21.0862162	79.0637884		India	XBB.1.9.1*	84034F	DOH
114	43.3568493	-1.7930754		Spain	XBB.2.3*	035F66	DOH
115	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
116	15.9266657	107.9650855		Vietnam	XBB*	04329B	DOH
117	9.0067224	7.2723697		Nigeria	XBB*	04329B	DOH
118	15.9266657	107.9650855		Vietnam	EG.5*	76227F	DOH
119	33.9920437	-96.9158396		Lebanon	XBB.1.16*	9B0E0E	DOH
120	24.9415476	46.7119808		Saudi Arabia	XBB*	04329B	DOH
121	1.352975	103.99605546603934		Singapore	XBB.1.9.2*	76750F	DOH
122	-27.7853361	30.7897384		South Africa	XBB*	04329B	DOH
123	23.61298745	89.51132630000001		Bangladesh	XBB*	04329B	DOH
124	1.352975	103.99605546603934		Singapore	XBB*	04329B	DOH
125	1.352975	103.99605546603934		Singapore	EG.5*	76227F	DOH
126	1.352975	103.99605546603934		Singapore	XBB.1.9.1*	84034F	DOH
127	-27.7853361	30.7897384		South Africa	EG.5*	76227F	DOH
128	42.3743325	-71.0302794		United States	XBB*	04329B	DOH
129	42.3743325	-71.0302794		United States	EG.5*	76227F	DOH
130	41.1338198	16.7632158		Italy	XBB*	04329B	DOH
131	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
132	5.6164609	-0.1770993		Egypt	XBB.1.9.1*	84034F	DOH
133	53.2716381	7.4587572		Germany	XBB*	04329B	DOH
134	53.2716381	7.4587572		Germany	XBB.1.9.2*	76750F	DOH
135	49.0079	-2.5508		France	EG.5*	76227F	DOH
136	41.1338198	16.7632158		Italy	XBB.2.3*	035F66	DOH
137	41.1338198	16.7632158		Italy	Omicron	2a6291	DOH
138	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
139	41.1338198	16.7632158		Italy	XBB*	04329B	DOH
140	4.1898549	73.5271565		Maldives	EG.5*	76227F	DOH
141	-27.7853361	30.7897384		South Africa	XBB*	04329B	DOH
142	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
143	28.2127094	83.6658884		Nepal	XBB.1.16*	9B0E0E	DOH
144	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
145	28.2127094	83.6658884		Nepal	XBB.1.9.1*	84034F	DOH
146	-27.7853361	30.7897384		South Africa	XBB.1.9.1*	84034F	DOH
